
Hidden Size: 32, Batch Size: 1
Epoch 1: Train Loss = 0.4762, Val Loss = 0.3590, Test Acc = 0.8972
Epoch 2: Train Loss = 0.2634, Val Loss = 0.3609, Test Acc = 0.9192
Epoch 3: Train Loss = 0.2128, Val Loss = 0.3329, Test Acc = 0.9196
Epoch 4: Train Loss = 0.1707, Val Loss = 0.3404, Test Acc = 0.9252
Epoch 5: Train Loss = 0.1549, Val Loss = 0.2965, Test Acc = 0.9364
Epoch 6: Train Loss = 0.1249, Val Loss = 0.3526, Test Acc = 0.9344
Epoch 7: Train Loss = 0.1168, Val Loss = 0.3678, Test Acc = 0.9328
Epoch 8: Train Loss = 0.1264, Val Loss = 0.3760, Test Acc = 0.9320
Epoch 9: Train Loss = 0.0994, Val Loss = 0.4547, Test Acc = 0.9352
Epoch 10: Train Loss = 0.0895, Val Loss = 0.4409, Test Acc = 0.9292

Hidden Size: 32, Batch Size: 32
Epoch 1: Train Loss = 1.1607, Val Loss = 0.5800, Test Acc = 0.8676
Epoch 2: Train Loss = 0.4876, Val Loss = 0.4206, Test Acc = 0.8888
Epoch 3: Train Loss = 0.3873, Val Loss = 0.3645, Test Acc = 0.8968
Epoch 4: Train Loss = 0.3406, Val Loss = 0.3469, Test Acc = 0.9032
Epoch 5: Train Loss = 0.3131, Val Loss = 0.3272, Test Acc = 0.9060
Epoch 6: Train Loss = 0.2903, Val Loss = 0.3103, Test Acc = 0.9088
Epoch 7: Train Loss = 0.2709, Val Loss = 0.3006, Test Acc = 0.9120
Epoch 8: Train Loss = 0.2560, Val Loss = 0.2952, Test Acc = 0.9140
Epoch 9: Train Loss = 0.2418, Val Loss = 0.2874, Test Acc = 0.9152
Epoch 10: Train Loss = 0.2289, Val Loss = 0.2805, Test Acc = 0.9144

Hidden Size: 32, Batch Size: 10000
Epoch 1: Train Loss = 2.3651, Val Loss = 2.3526, Test Acc = 0.1004
Epoch 2: Train Loss = 2.3466, Val Loss = 2.3357, Test Acc = 0.1160
Epoch 3: Train Loss = 2.3293, Val Loss = 2.3197, Test Acc = 0.1308
Epoch 4: Train Loss = 2.3129, Val Loss = 2.3046, Test Acc = 0.1460
Epoch 5: Train Loss = 2.2974, Val Loss = 2.2901, Test Acc = 0.1596
Epoch 6: Train Loss = 2.2826, Val Loss = 2.2761, Test Acc = 0.1736
Epoch 7: Train Loss = 2.2682, Val Loss = 2.2623, Test Acc = 0.1884
Epoch 8: Train Loss = 2.2542, Val Loss = 2.2488, Test Acc = 0.2016
Epoch 9: Train Loss = 2.2404, Val Loss = 2.2356, Test Acc = 0.2192
Epoch 10: Train Loss = 2.2270, Val Loss = 2.2225, Test Acc = 0.2396

Hidden Size: 64, Batch Size: 1
Epoch 1: Train Loss = 0.4381, Val Loss = 0.3480, Test Acc = 0.9012
Epoch 2: Train Loss = 0.2332, Val Loss = 0.3431, Test Acc = 0.9028
Epoch 3: Train Loss = 0.1531, Val Loss = 0.3416, Test Acc = 0.9196
Epoch 4: Train Loss = 0.0994, Val Loss = 0.2783, Test Acc = 0.9404
Epoch 5: Train Loss = 0.0666, Val Loss = 0.2711, Test Acc = 0.9404
Epoch 6: Train Loss = 0.0711, Val Loss = 0.2311, Test Acc = 0.9488
Epoch 7: Train Loss = 0.0348, Val Loss = 0.3642, Test Acc = 0.9300
Epoch 8: Train Loss = 0.0299, Val Loss = 0.2809, Test Acc = 0.9528
Epoch 9: Train Loss = 0.0115, Val Loss = 0.2602, Test Acc = 0.9500
Epoch 10: Train Loss = 0.0080, Val Loss = 0.2432, Test Acc = 0.9532

Hidden Size: 64, Batch Size: 32
Epoch 1: Train Loss = 1.1457, Val Loss = 0.5690, Test Acc = 0.8628
Epoch 2: Train Loss = 0.4779, Val Loss = 0.4097, Test Acc = 0.8944
Epoch 3: Train Loss = 0.3800, Val Loss = 0.3550, Test Acc = 0.9004
